,precision,recall,f1-score,support
STYLE,0.5,0.25,0.3333333333333333,4.0
HEALTHY LIVING,1.0,0.2,0.33333333333333337,10.0
WORLD NEWS,0.5217391304347826,0.2608695652173913,0.3478260869565218,46.0
SPORTS,0.5714285714285714,0.48484848484848486,0.5245901639344263,33.0
EDUCATION,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0
ARTS & CULTURE,0.5,0.28125,0.36,32.0
HOME & LIVING,0.5,0.5217391304347826,0.5106382978723404,23.0
MONEY,1.0,0.4,0.5714285714285715,5.0
WEDDINGS,0.6875,0.6470588235294118,0.6666666666666667,17.0
BUSINESS,0.3333333333333333,0.5,0.4,2.0
GREEN,0.549618320610687,0.6486486486486487,0.5950413223140496,111.0
ENTERTAINMENT,0.0,0.0,0.0,6.0
TASTE,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
FOOD & DRINK,0.574468085106383,0.7105263157894737,0.6352941176470589,38.0
SCIENCE,0.4,0.2222222222222222,0.2857142857142857,9.0
STYLE & BEAUTY,0.5454545454545454,0.35294117647058826,0.42857142857142855,17.0
ARTS,0.3,0.057692307692307696,0.0967741935483871,52.0
CULTURE & ARTS,0.6666666666666666,0.8695652173913043,0.7547169811320754,23.0
FIFTY,0.45454545454545453,0.25,0.3225806451612903,20.0
IMPACT,0.0,0.0,0.0,9.0
WORLDPOST,0.75,0.3,0.4285714285714285,20.0
COMEDY,0.6,0.42857142857142855,0.5,7.0
MEDIA,0.4864864864864865,0.4090909090909091,0.44444444444444453,44.0
TECH,0.2,0.07692307692307693,0.1111111111111111,13.0
LATINO VOICES,0.5059880239520959,0.8756476683937824,0.6413662239089185,193.0
POLITICS,0.5641025641025641,0.5789473684210527,0.5714285714285715,38.0
BLACK VOICES,0.5384615384615384,0.3181818181818182,0.39999999999999997,22.0
PARENTING,0.625,0.45454545454545453,0.5263157894736842,11.0
PARENTS,0.75,0.7777777777777778,0.7636363636363638,27.0
WEIRD NEWS,1.0,0.07692307692307693,0.14285714285714288,13.0
WOMEN,0.5681818181818182,0.7936507936507936,0.6622516556291391,63.0
THE WORLDPOST,1.0,0.09090909090909091,0.16666666666666669,11.0
QUEER VOICES,0.25,0.16666666666666666,0.2,12.0
CRIME,0.5625,0.375,0.45,24.0
RELIGION,0.5857142857142857,0.6833333333333333,0.6307692307692309,60.0
DIVORCE,0.6363636363636364,0.7777777777777778,0.7000000000000001,18.0
GOOD NEWS,0.4,0.1,0.16000000000000003,20.0
ENVIRONMENT,0.47058823529411764,0.6666666666666666,0.5517241379310345,120.0
WELLNESS,0.25,0.041666666666666664,0.07142857142857142,24.0
TRAVEL,0.6666666666666666,0.4,0.5,15.0
COLLEGE,0.5,0.09090909090909091,0.15384615384615385,22.0
accuracy,0.5339185953711093,0.5339185953711093,0.5339185953711093,0.5339185953711093
macro avg,0.5381079612298215,0.38641296365936667,0.4091935369873712,1253.0
weighted avg,0.5283176796773602,0.5339185953711093,0.49356307691808643,1253.0
